dataset_seed,dataset,arm,ansatz_level,dilution,seed,lr,val_accuracy,test_accuracy,best_epoch,epochs_run,theta_displacement,wall_seconds,run_id
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L1,h2,2,0.1,0.85,0.8416666666666667,56,86,1.3617812395095825,770.2006649589748,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L1,h2,2,0.1,0.8133333333333334,0.8183333333333334,41,71,0.0,8.452457541017793,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L2,h2,2,0.1,0.84,0.83,38,68,0.9955238103866577,610.1088425419875,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L2,h2,2,0.1,0.6516666666666666,0.645,17,47,0.0,9.452681708033197,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L1,h4,1,0.1,0.8416666666666667,0.8325,29,59,1.342466115951538,534.6273767499952,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L1,h4,1,0.1,0.8166666666666667,0.8091666666666667,79,109,0.0,9.301656708004884,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L1,h4,2,0.1,0.8316666666666667,0.8266666666666667,11,41,0.9657810926437378,393.3908037499641,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L1,h4,2,0.1,0.8166666666666667,0.815,12,42,0.0,9.383888125012163,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L2,h4,1,0.1,0.8116666666666666,0.7941666666666667,21,51,1.2936136722564697,485.2802968749893,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L2,h4,1,0.1,0.63,0.6091666666666666,7,37,0.0,8.608848290983588,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L1,h42,3,0.1,0.915,0.8791666666666667,23,53,1.6029579639434814,501.67203133302974,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L1,h42,3,0.1,0.755,0.7625,43,73,0.0,8.358866416034289,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L1,h42,2,0.1,0.935,0.9358333333333333,32,62,1.2404314279556274,582.080443416955,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L1,h42,2,0.1,0.83,0.8333333333333334,42,72,0.0,8.414257083961274,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L1,h2,1,0.1,0.8616666666666667,0.8516666666666667,135,165,1.6536774635314941,1489.2690727920271,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L1,h2,1,0.1,0.8166666666666667,0.81,79,109,0.0,8.516230582958087,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L2,h42,1,0.1,0.905,0.8875,37,67,1.3414760828018188,618.6667998339981,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L2,h42,1,0.1,0.6666666666666666,0.6783333333333333,55,85,0.0,8.124355000036303,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L2,h4,2,0.1,0.8433333333333334,0.8458333333333333,67,97,1.249078392982483,889.972537041991,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L2,h4,2,0.1,0.6516666666666666,0.6558333333333334,43,73,0.0,7.958754124992993,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L1,h42,1,0.1,0.9466666666666667,0.9575,70,100,1.4700483083724976,915.6686344589689,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L1,h42,1,0.1,0.8466666666666667,0.8383333333333334,45,75,0.0,8.082638500025496,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L2,h42,2,0.1,0.86,0.8591666666666666,40,70,1.2443197965621948,628.0043316670344,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L2,h42,2,0.1,0.6516666666666666,0.6591666666666667,71,101,0.0,8.18882833304815,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L1,h4,3,0.1,0.8416666666666667,0.8375,82,112,1.364018201828003,1016.6813948749914,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L1,h4,3,0.1,0.5133333333333333,0.49,46,76,0.0,8.447631666029338,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L2,h42,3,0.1,0.9366666666666666,0.9341666666666667,36,66,1.6592373847961426,589.2527135420241,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L2,h42,3,0.1,0.8383333333333334,0.81,20,50,0.0,8.041662333009299,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L1,linear,3,0.1,0.83,0.8216666666666667,12,42,1.3273593187332153,377.73901604203274,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L1,linear,3,0.1,0.6916666666666667,0.7241666666666666,66,96,0.0,8.336265167046804,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L2,h4,3,0.1,0.8383333333333334,0.8316666666666667,103,133,3.0164597034454346,1203.0759496669634,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L2,h4,3,0.1,0.805,0.8025,3,33,0.0,7.685172458994202,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L1,linear,2,0.1,0.835,0.8175,30,60,1.0726145505905151,534.9669941250468,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,B,L1,linear,2,0.1,0.7466666666666667,0.7233333333333334,24,54,0.0,7.955660832987633,d21_20260822T070952Z
33,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed33,A,L1,linear,1,0.1,0.8266666666666667,0.8125,43,73,1.2005562782287598,648.5696572499583,d21_20260822T070952Z
