source,dataset_seed,arm,ansatz,dilution,seed,n_params,norm_over_sqrt_P,mean_abs,median_abs,max_abs,K_gt_0.01,K_gt_0.05,K_gt_0.1,K_gt_0.2,K_gt_0.5,K_gt_1.0
h3_probe,11,A,L2,h3,8,35,0.17730006560034817,0.1769453568117959,0.17985796928405762,0.1801009178161621,35,35,35,0,0,0
h3_probe,11,A,L2,h3,9,35,0.9194333812502589,0.7666943652289254,0.7315931916236877,2.2102200984954834,35,35,31,30,25,8
h3_probe,11,F,product,h3,10,35,0.5311798045374928,0.4156354750905718,0.31949877738952637,1.3641201853752136,34,32,30,24,12,2
h3_probe,11,F,product,h3,10,35,0.7310599931300495,0.5548939230785306,0.37371158599853516,1.8571343421936035,35,34,30,23,14,7
h3_probe,11,F,product,h3,1,35,0.6062804399711759,0.4888538779956954,0.3846132755279541,1.492964744567871,35,34,33,27,13,5
h3_probe,11,F,product,h3,1,35,0.25633869174640483,0.22873416244983674,0.2635139226913452,0.33924877643585205,35,29,27,26,0,0
h3_probe,11,F,product,h3,2,35,0.5316967682507265,0.39552882755441326,0.26442813873291016,1.4520394504070282,33,31,27,21,12,2
h3_probe,11,F,product,h3,2,35,0.5829001698261033,0.45637529250234365,0.434600830078125,1.3303475379943848,35,30,29,25,12,5
h3_probe,11,F,product,h3,3,35,0.5256419245699305,0.3921799584025783,0.2512626647949219,1.4547028541564941,34,32,27,25,10,3
h3_probe,11,F,product,h3,3,35,0.9236843185184239,0.6806398767977953,0.5537571907043457,2.6670169830322266,33,31,31,28,18,7
h3_probe,11,F,product,h3,4,35,0.6350541783602244,0.5113173812627793,0.42374539375305176,1.6313071250915527,35,34,32,27,15,4
h3_probe,11,F,product,h3,4,35,0.8377301620397621,0.6361524869288717,0.4572267532348633,2.353452615439892,34,33,32,26,15,9
h3_probe,11,F,product,h3,5,35,0.4623941923780331,0.3453627326658794,0.26343703269958496,1.1845979690551758,34,27,24,22,10,2
h3_probe,11,F,product,h3,5,35,0.7629892299837053,0.5628759999892541,0.3800830841064453,1.7445842027664185,35,31,27,24,16,7
h3_probe,11,F,product,h3,6,35,0.5304513246969864,0.4504204370081425,0.39505720138549805,1.100508689880371,34,33,32,31,11,3
h3_probe,11,F,product,h3,6,35,0.8614659225681325,0.681177838572434,0.48690319061279297,2.1233190298080444,35,33,32,30,17,9
h3_probe,11,F,product,h3,7,35,0.3633587056918535,0.2785554498434067,0.20913219451904297,0.9069107174873352,34,33,27,18,6,0
h3_probe,11,F,product,h3,7,35,0.6510969931222051,0.4892828393993633,0.3226613998413086,1.7474262714385986,35,34,31,27,12,4
h3_probe,11,F,product,h3,8,35,0.5368680997477022,0.43083617602075847,0.3866868019104004,1.6593376398086548,35,32,30,27,11,1
h3_probe,11,F,product,h3,8,35,0.6108468169075425,0.454502546787262,0.338396817445755,2.0535688400268555,35,32,30,27,11,3
h3_probe,11,F,product,h3,9,35,0.46610531951655926,0.35324264190026694,0.27596426010131836,1.1348991394042969,33,29,26,18,12,1
h3_probe,11,F,product,h3,9,35,0.8446592838410253,0.667287218783583,0.5210113525390625,2.6800832748413086,35,34,33,30,19,7
h3_probe,22,A,L1,h3,10,35,0.9347184092239331,0.7026549786329269,0.39634132385253906,2.527866840362549,35,32,29,26,17,11
h3_probe,22,A,L1,h3,1,35,0.8588023884197873,0.6557613762361663,0.48712730407714844,2.1376941204071045,33,32,32,29,17,8
h3_probe,22,A,L1,h3,2,35,0.8329772858068802,0.6730798912899835,0.5510497093200684,1.8489341735839844,35,33,30,29,19,10
h3_probe,22,A,L1,h3,3,35,0.8102133203113174,0.6171583792859955,0.4068390130996704,1.959671437740326,35,34,34,27,15,7
h3_probe,22,A,L1,h3,4,35,0.9301692434295108,0.7383941950542586,0.5856093168258667,2.396143317222595,35,33,33,29,19,10
h3_probe,22,A,L1,h3,5,35,1.0261395715654325,0.7544161353792463,0.5119771957397461,3.0666089057922363,35,33,29,27,18,12
h3_probe,22,A,L1,h3,6,35,0.7835883594302796,0.6145910081054483,0.48645448684692383,1.8905025720596313,34,32,31,27,17,7
h3_probe,22,A,L1,h3,7,35,0.9430971466969673,0.6912003209947475,0.5266647338867188,2.999960422515869,35,34,30,28,19,8
h3_probe,22,A,L1,h3,8,35,1.013635941025338,0.7127511123461383,0.4559450149536133,2.9097096920013428,34,32,32,27,15,8
h3_probe,22,A,L1,h3,9,35,0.6984294408822757,0.5274538253034864,0.42050862312316895,1.6421270370483398,33,30,27,24,16,5
h3_probe,22,A,L2,h3,10,35,0.7249356842973421,0.5499767003314836,0.4443221092224121,1.9776256084442139,34,32,32,23,15,6
h3_probe,22,A,L2,h3,1,35,0.5979313329353788,0.46539718572582517,0.3695235252380371,1.6437582969665527,35,34,31,24,14,2
