status,generator_seed,dilution,ansatz,arm,lr,split,n,mean,sigma_seed,sigma_ci95_low,sigma_ci95_high,min,max,theta_displacement_mean,theta_displacement_max,best_epoch_mean,epochs_run_mean
complete contract grid,all present in the CSV,h2,,D_matched,0.03,test,30,0.6951666666666666,0.07152297811520039,0.05696139562277584,0.09614942514474617,0.485,0.7741666666666667,0.0,0.0,47.03333333333333,77.03333333333333
complete contract grid,all present in the CSV,h2,,D_matched,0.03,val,30,0.7011666666666666,0.0650790118070164,0.05182937618044927,0.08748670342214042,0.5133333333333333,0.7883333333333333,0.0,0.0,47.03333333333333,77.03333333333333
complete contract grid,all present in the CSV,h2,,E,0.1,test,30,0.7620833333333332,0.13054112070685736,0.10396385354154522,0.17548841008128777,0.4658333333333333,0.8525,,,,
complete contract grid,all present in the CSV,h2,,E,0.1,val,30,0.773666666666667,0.11559889034188808,0.09206375768794732,0.15540134298995203,0.5133333333333333,0.85,,,,
complete contract grid,all present in the CSV,h2,,F,0.03,test,30,0.7302500000000001,0.15429470451999278,0.12288137236828459,0.20742071336264586,0.4658333333333333,0.8683333333333333,0.5682776944090923,1.2146635055541992,57.4,87.2
complete contract grid,all present in the CSV,h2,,F,0.03,val,30,0.7456111111111113,0.13749920468828394,0.109505319863098,0.18484226799594933,0.5133333333333333,0.87,0.5682776944090923,1.2146635055541992,57.4,87.2
complete contract grid,all present in the CSV,h4,L1,A,0.03,test,30,0.8596111111111111,0.03609582641451247,0.02874696640031439,0.048524167356257385,0.8233333333333334,0.9525,0.9752777457237244,1.369370698928833,105.06666666666666,135.06666666666666
complete contract grid,all present in the CSV,h4,L1,A,0.03,val,30,0.8653888888888889,0.0329828799587054,0.026267794261590767,0.04433938618355319,0.8216666666666667,0.9533333333333334,0.9752777457237244,1.369370698928833,105.06666666666666,135.06666666666666
complete contract grid,all present in the CSV,h4,L1,B,0.03,test,30,0.7413611111111111,0.06552305147491934,0.05218301245038878,0.08808363268788721,0.485,0.8183333333333334,0.0,0.0,62.63333333333333,92.63333333333334
complete contract grid,all present in the CSV,h4,L1,B,0.03,val,30,0.7458888888888889,0.05788370778617548,0.04609898617491669,0.07781394700767413,0.5383333333333333,0.8166666666666667,0.0,0.0,62.63333333333333,92.63333333333334
